goal_id,baseline,coverage@k,token_reduction_rate,redundancy_reduction,goal_alignment_score,actionability_score,llm_judge_score,evidence_unit_count
G-U0002-01,ours,0.0,0.8763837638376384,0.13333333333333333,0.14545454545454545,1.0,0.0,5
G-U0002-01,ours_wo_compression,0.0,0.9760147601476015,0.08333333333333333,0.09090909090909091,0.0,0.0,5
G-U0002-01,ours_wo_lexical_gate,0.0,0.8763837638376384,0.13333333333333333,0.14545454545454545,1.0,0.0,5
G-U0002-01,raw_llm,0.0,1.0,0.0,0.0,0.0,0.0,0
G-U0002-01,simple_summary,0.0,1.0,0.0,0.0,0.0,0.0,0
G-U0002-02,ours,0.0,0.9317343173431735,0.06666666666666667,0.1111111111111111,1.0,0.0,3
G-U0002-02,ours_wo_compression,0.0,0.9833948339483395,0.05,0.07407407407407407,0.0,0.0,3
G-U0002-02,ours_wo_lexical_gate,0.0,0.8985239852398524,0.1,0.06666666666666667,1.0,0.0,5
G-U0002-02,raw_llm,0.0,1.0,0.0,0.0,0.0,0.0,0
G-U0002-02,simple_summary,0.0,1.0,0.0,0.0,0.0,0.0,0
G-U0010-02,ours,0.0,0.9017857142857143,0.09803921568627451,0.06666666666666667,1.0,0.0,3
G-U0010-02,ours_wo_compression,0.0,0.9888392857142857,0.058823529411764705,0.03333333333333333,0.0,0.0,3
G-U0010-02,ours_wo_lexical_gate,0.0,0.9419642857142857,0.0784313725490196,0.025,1.0,0.0,4
G-U0010-02,raw_llm,0.0,1.0,0.0,0.0,0.0,0.0,0
G-U0010-02,simple_summary,0.0,1.0,0.0,0.0,0.0,0.0,0
